	ACCN	#of members	final_clus_rep
1107	8C9M_A	7178	8C9M_A
954	7LX5_B	3826	7LX5_B
54740	YP_009256213.1	3583	7TI4_A
42429	YP_009116874.1	1697	2WZR_2
659	6FY2_P	1623	6FY2_P
82900	YP_009825007.1	1475	5C94_A
946	7LGO_B	1460	7LGO_B
29025	YP_007675236.1	1218	1PDL_A
378	4GQH_A	1166	4GQH_A
91329	YP_009944268.1	1155	7VTC_A
611	5XL2_A	1124	5XL2_A
4464	NP_570725.1	1072	6NFW_A
854	6ZJM_A	1039	6ZJM_A
59301	YP_009325930.1	914	3S7X_A
85237	YP_009842186.1	741	6QVK_1A
65087	YP_009551442.1	740	YP_009551442.1
61046	YP_009351874.1	684	6DZU_A1
65776	YP_009553590.1	631	6F2S_A
56215	YP_009279167.1	624	5VF3_A
56586	YP_009284225.1	612	1TIS_A
78895	YP_009807759.1	590	YP_009807759.1
65046	YP_009518839.1	582	5YSX_A
47978	YP_009187682.1	570	6QYY_A
5296	NP_775645.1	543	6VG5_A
110321	YP_010672653.1	540	5UJ0_B
55758	YP_009276359.1	533	YP_009276359.1
37093	YP_009010511.1	533	YP_009010511.1
5084	NP_695026.1	531	5KIP_A
41254	YP_009100337.1	527	YP_009100337.1
531	5HUN_A	522	5HUN_A
108489	YP_010666996.1	516	YP_010666996.1
38682	YP_009022077.1	511	5W1X_A
49626	YP_009201285.1	504	1REG_X
88663	YP_009873910.1	498	YP_009873910.1
96752	YP_010087793.1	490	YP_010087793.1
22304	YP_006491231.1	483	3J0G_M
63618	YP_009465986.1	481	YP_009465986.1
17901	YP_004324193.1	449	3C6A_A
40936	YP_009099033.1	446	1NOY_A
13836	YP_003029843.1	440	6URV_B
77465	YP_009800108.1	437	YP_009800108.1
54438	YP_009241378.1	433	6X2K_1
92166	YP_009978932.1	432	YP_009978932.1
57204	YP_009290990.1	428	YP_009290990.1
840	6YFG_AA	420	6YFG_AA
84436	YP_009837734.1	420	3JA7_A
65115	YP_009551512.1	418	1ZA7_A
55925	YP_009276994.1	413	5JBL_A
106372	YP_010656555.1	409	YP_010656555.1
101	1XCQ_P	408	1XCQ_P
792	6THN_4	405	6THN_4
29248	YP_007676034.1	404	1H78_A
41204	YP_009100065.1	404	2PI4_A
16327	YP_004009691.1	399	YP_004009691.1
17119	YP_004300937.1	399	1PDP_A
78047	YP_009802364.1	395	4BIJ_A
97375	YP_010092989.1	394	2JPN_A
80060	YP_009812380.1	387	YP_009812380.1
84165	YP_009836033.1	387	YP_009836033.1
94736	YP_010061580.1	387	YP_010061580.1
82191	YP_009820915.1	385	YP_009820915.1
29902	YP_007877692.1	385	3IO5_A
464	4XHA_A	385	4XHA_A
5571	NP_817485.1	384	3HC7_A
6060	NP_849171.1	382	2PKG_C
852	6YSZ_A	378	6YSZ_A
21133	YP_005351234.1	367	6JIM_B
3035	NP_068346.1	364	4V99_A1
10880	YP_001595233.1	363	YP_001595233.1
58380	YP_009304277.1	361	YP_009304277.1
850	6YFT_AA	360	6YFT_AA
95255	YP_010078610.1	360	YP_010078610.1
1105	8AAC_1A	360	8AAC_1A
656	6FS7_A	357	6FS7_A
22	1FR5_A	357	1FR5_A
5246	NP_740686.1	355	6W1C_A
7049	NP_958321.1	349	NP_958321.1
89989	YP_009887102.1	347	YP_009887102.1
49199	YP_009198117.1	347	YP_009198117.1
85724	YP_009844356.1	345	5IV5_BB
13735	YP_002922373.1	345	5VF3_O
110448	YP_010674326.1	342	7Z45_A
34336	YP_008531979.1	340	YP_008531979.1
38350	YP_009018693.1	340	YP_009018693.1
55929	YP_009277003.1	339	4HUH_A
89121	YP_009877186.1	339	4HIZ_A
86141	YP_009845760.1	339	YP_009845760.1
49948	YP_009203928.1	337	1K28_D
89405	YP_009882307.1	335	YP_009882307.1
93152	YP_010013574.1	333	YP_010013574.1
41563	YP_009103140.1	331	6QWP_A
48417	YP_009189633.1	328	YP_009189633.1
64253	YP_009483881.1	323	5X45_A
91894	YP_009961116.1	321	YP_009961116.1
49377	YP_009199241.1	320	8G6R_A
67008	YP_009596376.1	318	YP_009596376.1
53185	YP_009223419.1	318	5NGJ_A
80179	YP_009812771.1	317	YP_009812771.1
73617	YP_009666107.1	315	YP_009666107.1
94794	YP_010062147.1	314	YP_010062147.1
91659	YP_009951491.1	311	YP_009951491.1
44186	YP_009146480.1	310	YP_009146480.1
26718	YP_007235985.1	306	4KU0_D
33615	YP_008409352.1	305	YP_008409352.1
23093	YP_006907207.1	304	YP_006907207.1
49610	YP_009201244.1	303	1VQ2_A
77363	YP_009799731.1	302	1NUI_B
38892	YP_009032508.1	302	YP_009032508.1
67070	YP_009596465.1	298	YP_009596465.1
91939	YP_009963659.1	298	YP_009963659.1
1734	NP_045935.1	295	5A9E_B
30419	YP_008051859.1	293	YP_008051859.1
50623	YP_009211498.1	292	YP_009211498.1
38910	YP_009032600.1	292	8EGT_A
24935	YP_007004991.1	290	6PX4_B
131	2GEC_A	290	2GEC_A
9972	YP_001469199.1	289	YP_001469199.1
92151	YP_009977295.1	288	7TZ1_A
54330	YP_009238495.1	287	6NIR_A
35938	YP_009004203.1	287	7BOZ_a
91933	YP_009963649.1	285	YP_009963649.1
96116	YP_010084302.1	284	5XOR_B
75848	YP_009791863.1	282	1E7D_A
68905	YP_009607587.1	281	YP_009607587.1
44418	YP_009147811.1	280	YP_009147811.1
54873	YP_009268950.1	280	YP_009268950.1
6409	NP_891708.1	280	3H2T_A
